Species Name,Light Tolerance,Migratory Status
Eastern Spot-billed Duck,Sensitive,Migratory
Tundra Bean-Goose,Sensitive,Migratory
Taiga/Tundra Bean-Goose,Sensitive,Migratory
harrier sp.,Sensitive,Migratory
Budgerigar,Tolerant,Resident
corella/white cockatoo sp.,Sensitive,Resident
Great/Oriental/Clamorous Reed Warbler,Sensitive,Migratory
Slaty-backed Gull,Tolerant,Migratory
Black-billed Hanging-Parrot,Sensitive,Resident
Larus sp.,Tolerant,Migratory
Nordmann's Greenshank,Sensitive,Migratory
Christmas Island Frigatebird,Sensitive,Migratory
Cotton Pygmy-Goose,Tolerant,Resident
frigatebird sp.,Tolerant,Resident
hornbill sp.,Sensitive,Resident
Little Curlew,Sensitive,Migratory
Siberian/Tibetan Sand-Plover,Sensitive,Migratory
Porzana/Zapornia sp.,Sensitive,Resident
Nicobar Pigeon,Sensitive,Resident
Tawitawi Brown-Dove,Sensitive,Resident
Great/Medium Egret,Sensitive,Migratory
Beach Thick-knee,Sensitive,Resident
Little Gull,Sensitive,Migratory
